ID,Name,Lng,Lat,Source
A01,翱翔·飞越地平线,121.665397,31.143421,AMAP_API
A02,雷鸣山漂流,121.663132,31.142845,AMAP_API
A03,古迹探索营,121.663795,31.143768,AMAP_API
A04,创极速光轮,121.656592,31.141825,AMAP_API
A05,巴斯光年星际营救,121.657608,31.140956,AMAP_API
A06,喷气背包飞行器,121.658679,31.141483,AMAP_API
A07,太空幸会史迪奇,121.658344,31.141193,AMAP_API
A08,七个小矮人矿山车,121.659729,31.145103,AMAP_API
A09,小飞侠天空奇遇,121.657913,31.14319,AMAP_API
A10,漫游童话时光,121.659437,31.143602,AMAP_API
A11,小熊维尼历险记,121.658645,31.145607,AMAP_API
A12,晶彩奇航,121.658477,31.143721,AMAP_API
A13,旋转疯蜜罐,121.658687,31.145317,AMAP_API
A14,爱丽丝梦游仙境迷宫,121.660005,31.144255,AMAP_API
A15,加勒比海盗,121.661697,31.145526,AMAP_API
A16,探险家独木舟,121.662156,31.143813,AMAP_API
A17,抱抱龙冲天赛车,121.656429,31.143356,AMAP_API
A18,胡迪牛仔嘉年华,121.657321,31.144048,AMAP_API
A19,弹簧狗团团转,121.65708,31.143428,AMAP_API
A20,幻想曲旋转木马,121.661275,31.142555,AMAP_API
A21,小飞象,121.659756,31.1426,AMAP_API
A22,米奇大街,121.661606,31.141832,AMAP_API
S01,奇想花园,121.660517,31.142747,AMAP_API
S02,奇幻童话城堡,121.659627,31.143558,AMAP_API
